Runs,Min,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
30,56,29,2,0,103.44,2,bowled,1,v Sri Lanka,Dubai (DICS),9 Sep 2022
5,22,6,0,0,83.33,2,caught,2,v Sri Lanka,Dubai (DICS),11 Sep 2022
31,45,24,3,0,129.16,2,bowled,1,v England,Karachi,20 Sep 2022
110*,88,66,11,5,166.66,2,not out,2,v England,Karachi,22 Sep 2022
8,12,6,1,0,133.33,2,caught,2,v England,Karachi,23 Sep 2022
36,51,28,3,0,128.57,2,caught,1,v England,Karachi,25 Sep 2022
9,16,12,1,0,75.00,2,caught,1,v England,Lahore,28 Sep 2022
87*,102,59,7,3,147.45,1,not out,1,v England,Lahore,30 Sep 2022
4,6,4,1,0,100.00,2,caught,2,v England,Lahore,2 Oct 2022
22,37,25,4,0,88.00,2,caught,1,v Bangladesh,Christchurch,7 Oct 2022
79*,96,53,11,0,149.05,2,not out,2,v New Zealand,Christchurch,8 Oct 2022
21,46,23,3,0,91.30,2,caught,1,v New Zealand,Christchurch,11 Oct 2022
55,60,40,9,0,137.50,2,caught,2,v Bangladesh,Christchurch,13 Oct 2022
15,17,14,3,0,107.14,2,caught,2,v New Zealand,Christchurch,14 Oct 2022
0,10,1,0,0,0.00,2,lbw,1,v India,Melbourne,23 Oct 2022
4,17,9,1,0,44.44,2,caught,2,v Zimbabwe,Perth,27 Oct 2022
4,10,5,1,0,80.00,2,run out,2,v Netherlands,Perth,30 Oct 2022
6,29,15,0,0,40.00,2,caught,1,v South Africa,Sydney,3 Nov 2022
25,46,33,2,0,75.75,2,caught,2,v Bangladesh,Adelaide,6 Nov 2022
53,56,42,7,0,126.19,2,caught,2,v New Zealand,Sydney,9 Nov 2022
32,58,28,2,0,114.28,2,caught,1,v England,Melbourne,13 Nov 2022
9,26,7,2,0,128.57,2,bowled,1,v New Zealand,Lahore,14 Apr 2023
101*,95,58,11,3,174.13,2,not out,1,v New Zealand,Lahore,15 Apr 2023
1,9,6,0,0,16.66,2,caught,2,v New Zealand,Lahore,17 Apr 2023
19,-,18,3,0,105.55,2,caught,1,v New Zealand,Rawalpindi,24 Apr 2023
57,68,35,6,2,162.85,3,caught,2,v New Zealand,Auckland,12 Jan 2024
66,77,43,7,2,153.48,3,caught,2,v New Zealand,Hamilton,14 Jan 2024
58,63,37,8,1,156.75,3,caught,2,v New Zealand,Dunedin,17 Jan 2024
19,23,11,2,1,172.72,3,caught,1,v New Zealand,Christchurch,19 Jan 2024
13,43,24,1,0,54.16,3,caught,1,v New Zealand,Christchurch,21 Jan 2024
14,21,13,3,0,107.69,2,stumped,2,v New Zealand,Rawalpindi,20 Apr 2024
37,48,29,4,1,127.58,2,caught,1,v New Zealand,Rawalpindi,21 Apr 2024
5,9,4,1,0,125.00,2,caught,2,v New Zealand,Lahore,25 Apr 2024
69,69,44,6,2,156.81,2,bowled,1,v New Zealand,Lahore,27 Apr 2024
57,56,43,8,1,132.55,3,caught,1,v Ireland,Dublin,10 May 2024
